Features, RMSE
5, 0.084615256
10, 0.105545501
15, 0.116950217
20, 0.130394537
25, 0.129911824
30, 0.141466986
35, 0.139976794
40, 0.134748284
45, 0.137082761
50, 0.136828002
55, 0.134052591
64, 0.138826445
